10000	1490
20000	3105
30000	4781
40000	7072
50000	8313
60000	10522
70000	12047
80000	14273
90000	15982
100000	17697
110000	19730
120000	22476
130000	23663
140000	25729
150000	27614
160000	29647
170000	31254
180000	36598
190000	35686
200000	37498
210000	39370
220000	43337
230000	43222
240000	45377
250000	47849
260000	49988
270000	51950
280000	54852
290000	56783
300000	57840
310000	61097
320000	61978
330000	65310
340000	69168
350000	68384
360000	70275
370000	73040
380000	76386
390000	76190
400000	78168
410000	81327
420000	85480
430000	84645
440000	86346
450000	90660
460000	93244
470000	94995
480000	95151
490000	97964
500000	99932
510000	101707
520000	106538
530000	107472
540000	107318
550000	111965
560000	112734
570000	113475
580000	120943
590000	118520
600000	122510
610000	122245
620000	126917
630000	128021
640000	135136
650000	133421
660000	134504
670000	134057
680000	138801
690000	141315
700000	143184
710000	142946
720000	150558
730000	150040
740000	152459
750000	152222
760000	160185
770000	156511
780000	160565
790000	163450
800000	163465
810000	164897
820000	166583
830000	171803
840000	175751
850000	176725
860000	179536
870000	181234
880000	180478
890000	184903
900000	186461
910000	188635
920000	190320
930000	195190
940000	194660
950000	197849
960000	201278
970000	203203
980000	205451
990000	207043
1e+06	211226
