10000	9707
20000	18554
30000	29356
40000	39910
50000	53487
60000	58592
70000	70026
80000	77881
90000	89437
100000	98374
110000	111381
120000	119892
130000	127465
140000	139897
150000	152390
160000	160009
170000	170528
180000	180622
190000	195056
200000	202263
210000	212103
220000	225073
230000	229218
240000	241420
250000	251991
260000	264689
270000	279307
280000	284626
290000	299075
300000	305086
310000	315629
320000	325661
330000	336004
340000	348542
350000	360402
360000	370909
370000	383517
380000	388749
390000	407569
400000	414855
410000	423401
420000	433958
430000	439977
440000	454173
450000	462521
460000	472128
470000	490527
480000	496794
490000	507277
500000	515655
510000	533876
520000	550125
530000	556815
540000	568929
550000	707613
560000	684336
570000	952901
580000	878517
590000	687213
600000	934753
610000	778912
620000	768684
630000	686967
640000	690896
650000	736445
660000	712692
670000	718898
680000	907464
690000	900866
700000	949652
710000	997324
720000	814871
730000	783816
740000	810324
750000	793672
760000	806520
770000	815215
780000	825162
790000	840444
800000	851439
810000	860368
820000	870665
830000	883476
840000	906861
850000	914806
860000	1.30477e+06
870000	1.1624e+06
880000	1.16261e+06
890000	1.02726e+06
900000	1.00285e+06
910000	1.04765e+06
920000	1.0496e+06
930000	1.05136e+06
940000	1.1e+06
950000	1.06843e+06
960000	1.06194e+06
970000	1.04369e+06
980000	1.05056e+06
990000	1.08429e+06
1e+06	1.07665e+06
