10000	1490	2430.35
20000	3105	4030.49
30000	4781	5709.65
40000	7072	7440.12
50000	8313	9208.74
60000	10522	11007.8
70000	12047	12832.1
80000	14273	14678
90000	15982	16542.9
100000	17697	18424.6
110000	19730	20321.4
120000	22476	22232
130000	23663	24155.2
140000	25729	26090
150000	27614	28035.6
160000	29647	29991.2
170000	31254	31956.3
180000	36598	33930.3
190000	35686	35912.7
200000	37498	37903.1
210000	39370	39901
220000	43337	41906.1
230000	43222	43918
240000	45377	45936.5
250000	47849	47961.3
260000	49988	49992.2
270000	51950	52028.9
280000	54852	54071.1
290000	56783	56118.8
300000	57840	58171.7
310000	61097	60229.6
320000	61978	62292.3
330000	65310	64359.8
340000	69168	66431.9
350000	68384	68508.4
360000	70275	70589.2
370000	73040	72674.2
380000	76386	74763.3
390000	76190	76856.4
400000	78168	78953.3
410000	81327	81054.1
420000	85480	83158.5
430000	84645	85266.5
440000	86346	87378
450000	90660	89492.9
460000	93244	91611.2
470000	94995	93732.8
480000	95151	95857.6
490000	97964	97985.6
500000	99932	100117
510000	101707	102251
520000	106538	104388
530000	107472	106528
540000	107318	108670
550000	111965	110816
560000	112734	112964
570000	113475	115115
580000	120943	117269
590000	118520	119425
600000	122510	121584
610000	122245	123745
620000	126917	125909
630000	128021	128075
640000	135136	130244
650000	133421	132415
660000	134504	134588
670000	134057	136764
680000	138801	138942
690000	141315	141122
700000	143184	143304
710000	142946	145488
720000	150558	147675
730000	150040	149864
740000	152459	152054
750000	152222	154247
760000	160185	156442
770000	156511	158639
780000	160565	160837
790000	163450	163038
800000	163465	165241
810000	164897	167445
820000	166583	169651
830000	171803	171860
840000	175751	174070
850000	176725	176281
860000	179536	178495
870000	181234	180710
880000	180478	182927
890000	184903	185146
900000	186461	187366
910000	188635	189589
920000	190320	191812
930000	195190	194038
940000	194660	196265
950000	197849	198494
960000	201278	200724
970000	203203	202956
980000	205451	205189
990000	207043	207424
1e+06	211226	209660
